,,,,,,,,
,   🌏 2025 Ethereum Events ,,,,,,"Missing any?
Comment or 
ping me on X"," & join us on 
Telegram 💬"
,See the doc on fileverse: https://docs.fileverse.io/0x81fb962e2088De6925AffA4E068dd3FAF3EFE163/52#key=ha6QALpLn-BWQhAHUpUTp4QotvX1P4TAbMz3q2yHEM2mFc__x76RRbbd7I0OoeHN,,,,,,  @NathanSexer,
,,,,,,,,
,Event,startDate,endDate,Geo,Link,Social,Chat,
,Zugrama India,January 5,February 16,"Thiruvananthapuram, Kerala, IND",zugrama.org/,ZuGramaIndia,-,
,BUIDL Europe,January 9,January 10,"Lisbon, POR",buidleurope.com,buidl_asia,t.me/+q50QiBQ4aVU1NTk1,
,ETHiopia,January 21,February 21,"Addis Ababa, ETH",eth-iopia.xyz,ETHiopia____,t.me/+yckCJYh-vyQ0Mjhl,
,EthereumZuri.ch,January 30,January 31,"Zurich, CHE",ethereumzuri.ch/,ethereumzurich,t.me/ethereumzurich,
,EthOxford,February 7,February 9,"Oxford, UK",ethoxford.io/,homedao_live,-,
,NFT Paris*,February 13,February 14,"Paris, FR",nftparis.xyz ,nft_paris,-,
,RWA Paris Summit*,February 13,February 14,"Paris, FR",rwaparis.xyz,nft_paris,-,
,Consensus HK*,February 18,February 20,"Hong Kong, HKG",consensus-hongkong2025.coindesk.com/,CoinDesk,-, 
,ZKDay,February 20,February 20,"Denver, USA",zklab.systems/zk-village,0zklab,-,
,ETHDenver,February 23,March 2,"Denver, USA",ethdenver.com,ethereumdenver,discord.gg/sporkdao,
,Pragma Denver,February 25,February 25,"Denver, USA",ethglobal.com/events/pragma-denver2025,ethglobal,ethglobal.com/discord,
,Modular Carnival,February 25,March 1,"Belo Horizonte, BRA",modularcarnival.xyz,modularcrypto,discord.com/invite/YvgrPfg5RZ,
,Edge City Austin,March 2,March 7,"Austin, USA",https://www.edgecity.live/austin,joinedgecity,-,
,Crecimiento,April 18,March 28,"TBD, ARG",crecimientoar,crecimientoar,t.me/+sXWv0kpT7qo4ZTdk,
,EthereumSF,March 10,March 16,"San Francisco, US",ethereumsf.org/,ethereumsf,t.me/+F5I7mpYd76xhY2Rh,
,Building Blocks,March 25,March 29,"Tel Aviv, IL",buildingblockstlv.com/,BuildingBlock_s,t.me/@BuildingBlocksTLV,
,ETH Pondy,March 28,March 30,"Pondicherry, IND",ethpondy.xyz ,ethpondy,t.me/+TqvYZX_BFC1kMWQ1 ,
,ETHTaipei,April 1,April 2,"Taipei, TW",ethtaipei.org ,EthTaipei,t.me/ethtaipei,
,ETH Bucharest,April 2,April 5,"Bucharest, Romania",ethbucharest.xyz,ethbucharest_,t.me/ETHBucharestCommunity,
,Pragma Taipei,April 3,April 3,"Taipei, TWN",ethglobal.com/events/pragma-taipei,ethglobal,ethglobal.com/discord,
,Edge Expedition South Africa,April 3,April 12,"Capetown, ZA",https://www.edgecity.live/southafrica,joinedgecity,-,
,ETHGlobal Taipei,April 4,April 6,"Taipei, TWN",ethglobal.com/events/taipei,ethglobal,ethglobal.com/discord,
,Appcon,April 7,April 13,"Milan, ITA",appcon.org,appcon,discord.gg/Cnx5xRzdWX,
,zkHack,April 11,April 13,"Seoul, KR",zkhack.dev,__zkhack__,discord.gg/VGyP6GtGd2,
,ETH Seoul,April 14,April 14,"Seoul, KR",ethseoul.org,eth_seoul_,t.me/ericakang,
,BUIDL Asia,April 15,April 16,"Seoul, KR",-,buidl_asia,t.me/ericakang,
,Invisible Garden,October 27,November 16,"Buenos Aires, ARG",https://invisible.garden/,invisiblgarden,t.me/invgarannounce,
,ETH Canal,April 22,April 25,"Panama City, PAN",ethcanal.xyz,ethcanal,t.me/@EthPanama,
,Staking Summit*,April 28,April 29,"Dubai, UAE",stakingsummit.com,stakingrewards,t.me/stakingrewards,
,ETHDubai,April 28,April 29,"Dubai, UAE",ethdubaiconf.org/,ETHDubaiConf,t.me/ETHDubai,
,TOKEN2049 Dubai*,April 30,May 1,"Dubai, UAE",token2049.com ,token2049,t.me/token2049official,
,ETH Cinco de Mayo,May 1,May 4,"Mexico, MX",ethcdm.com/,ETHCincoDeMayo,t.me/ethcdm,
,FarCon,May 1,May 4,"New York, NYC, USA",farcon.nyc,warpcast.com/~/channel/farcon-nyc,,
,ETHDam,May 9,May 11,"Amsterdam, NL",ethdam.com,cryptocanal,t.me/CryptoCanalCommunity,
,ETH Lisbon,May 9,May 11,"Lisbon, POR",ethlisbon.org ,ETHLisbon,discord.com/invite/yKpUEh3Tad,
,World Expo on Blockchain*,May 10,June 3,"Osaka, JPN",web2025.world/,web25_world,t.me/+kHdpq1NG9ydmZjdl,
,Consensus Toronto*,May 14,May 16,"Hong Kong, HKG",consensus2025.coindesk.com/,CoinDesk,t.me/+OyjKZpv18QthNWMx, 
,Code Africa Conference,May 19,May 23,"Nairobi,  Kenya",codeafrica.io,_one_dev,t.me/memoiafrica,
,ETHDublin 2025,May 23,May 25,"Dublin, IRE",lu.ma/hkl5jcre,EthIreland,t.me/ETHDublin,
,ETHBratislava,May 23,May 25,"Bratislava, SVK",ethbratislava.com/,ETH_Bratislava,ethbratislava,
,Edge Esmeralda,May 24,June 21,"Healdsburg, USA",edgeesmeralda.com/,joinedgecity,-,
,ETHPrague,May 27,May 29,"Prague, CZE",ethprague.com/,ethprague,t.me/ethprague,
,ETHGlobal Prague,May 30,June 1,"Prague, CZE",ethglobal.com/events/prague,ethglobal,ethglobal.com/discord,
,Pragma Prague,May 29,May 29,"Prague, CZE",ethglobal.com/events/pragma-prague,ethglobal,ethglobal.com/discord,
