Date,Name,Type_content,type event,host/colab/featuring,Location,Social Media post Official,registration_page,RVSP,Protocol to mint,NFT URL,CHAIN NFT,Mints NFT,POAP LINK,Collectors POAP,Chain POAP,Recap Social Media,Registro Fotografico,Carpeta del Evento,Youtube Recording
14/11/2022,Devcon VI,Event,Voluntering,Devcon: https://archive.devcon.org/watch/?event=devcon-6&sort=eventId&order=asc ,Agora: https://maps.app.goo.gl/psm34tA11wb5kh2V8,https://www.instagram.com/p/CiAXXShMJ1J/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://drive.google.com/drive/folders/1BmKSrXFahzPjON5bOy3tvnqi6KuGrHRH,2022 11 14 Devcon VI,
26/12/2022,Ethereum cali Opening,Meetup,own,instagram.com/espacio1060,Discoteca 1060: https://maps.app.goo.gl/ojibHKVdbmaRtACy6,https://www.instagram.com/p/CmxVlz6J9Go/,NA,4,POAP,NA,NA,NA,https://poap.gallery/drops/93758,0,NA,https://www.instagram.com/p/CmxVlz6J9Go/,https://drive.google.com/drive/u/0/folders/1y4zf8_4sLS4SphWXRcoGVN6b86u9gIDI,2022-12-26 ACTIVACION FERIA 50 2022,
24/02/2023,Ethereans del Pacifico 1,Meetup,own,NA,Boulevard del Rio: https://g.co/kgs/12YiNw5,https://www.instagram.com/p/CpDRcE6uuGz/,https://www.meetup.com/ethereumcali/events/291777540/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,3,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CpFyW8iOJzm/?img_index=1,https://drive.google.com/drive/u/0/folders/1ttr-X9LXeOuObiJpKiq9AF0bNSCStZ-9,2023 02 24 Etherean del pacifico 1,
01/03/2023,Revolucion de la contabilidad con AI,Conference,Colab,Hispanic tax inc,Universida Santiago: https://maps.app.goo.gl/B9XfBb4fCDLPVjhY7 ,https://www.instagram.com/p/CpPzoeWub9s/,https://www.meetup.com/ethereumcali/events/291777701/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,20,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CpQshRxpO7E/?img_index=1,https://drive.google.com/drive/u/0/folders/1ZgTGr38xus-M3QwHHoV8O0BdRHdNkoup,2023 03 1 2 CONFERENCIA USC,
01/03/2023,reinvencion del contador en el siglo xxi,Conference,Colab,Hispanic tax inc,Universidad del Valle: https://maps.app.goo.gl/Mta4fT2oWqxUynwq6 ,https://www.instagram.com/p/CpPzoeWub9s/,https://www.meetup.com/ethereumcali/events/291954715/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,20,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CpRdGL8tELV/?img_index=1,https://drive.google.com/drive/folders/1HNQNOLOtTwn3tQYRqM9uJ5yBgvCncIIm?usp=drive_link,2023 03 1 PM CONFERENCIAS UNIVALLE,
11/03/2023,Ethereum at the River,Meetup,own,NA,Boulevard del Rio: https://g.co/kgs/12YiNw5,https://www.instagram.com/p/CpqXsCsvkI4/,https://www.meetup.com/ethereumcali/events/292144032/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,7,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CpsbmR2OxBA/,https://drive.google.com/drive/folders/1LK8exLe9biQMs76NzaxUh-LNf5ZMhdMW?usp=drive_link,2023 03 11 ETHEREUM IN THE RIVER,
29/04/2023,Ethereans del pacifico 2,Meetup,own,NA,Boulevard del Rio: https://g.co/kgs/12YiNw5,https://www.instagram.com/p/CrjHfJepYlD/,https://www.meetup.com/ethereumcali/events/293164121/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,10,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/Crq4mEzJYx7/?img_index=1,https://drive.google.com/drive/u/0/folders/1I3lggk-xAUCt8edKJP-JiRbR6pT458Km,2023 04 29 ETHEREANS DEL PACIFICO 2,
19/05/2023,"Workshop: Digital Art Colombia en Cali, Medellin y Bogota.",Workshop,Colab,bellasartes.edu.co : https://bellasartes.edu.co/,bellasartes.edu.co : https://maps.app.goo.gl/z8w3fojn2rn3mHnR9 ,https://www.instagram.com/p/Cs46atlNXMu/?next=%2Freel%2FDJuBYZFuOPX%2F,https://www.meetup.com/es-ES/ethereumcali/events/293777059/?eventOrigin=group_events_list,10,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CtUdP_Hp7Dt/?next=%2Freel%2FDJuBYZFuOPX%2F&img_index=1,https://drive.google.com/drive/u/0/folders/1JR1kEX37AnLrVarkW1BplZaYZhVsLpwj,2023 05 14 WORKSHOP DIGITAL ART COLOMBIA ,https://www.youtube.com/live/6GyG8ifcTkw?si=MJy9MMv9KeTOtxvg
22/05/2023,Global Pizza Party 2023,Meetup,Colab,Enefty: instagram.com/enefty.co/ ,Pizzicleta.com : https://maps.app.goo.gl/FzvEwz9wSMGn2Yqn6 ,https://www.instagram.com/p/Cs2O02urc0x/?next=%2Freel%2FDJuBYZFuOPX%2F,NA,20,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/Cs2O02urc0x/,https://drive.google.com/drive/u/0/folders/1WoPtiO1Q9e1ATqhvYWKze3RO-S23vdGO,2023 05 22 Global pizza party 2023,
27/07/2023,Hashfest 2023,Event,Voluntering,hashclub: instagram.com/hashhouse.club/,hashfest: https://maps.app.goo.gl/RKPRbjs8vf3QHWoP7,https://www.instagram.com/hashfest/,NA,50,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/hashfest/,https://drive.google.com/drive/u/0/folders/1PxK-fEF9YMYiNK-m_iZumThhLpCR-SEO,2023 06 27 HashFest 2023,
16/08/2023,Ethereum Birthday 2023 - Empresarios Web3 ,Meetup,own,NA,Colectivo Coworking: https://maps.app.goo.gl/2kNFWM883z1jCdez7 ,https://www.instagram.com/p/Cv_LFbMN56U/?img_index=1,https://www.meetup.com/es-ES/ethereumcali/events/294439100/?eventOrigin=group_events_list,29,POAP,NA,NA,NA,https://poap.gallery/drops/147806 ,13,Gnosis,https://www.instagram.com/p/CwjPLlLtHcc/?img_index=1,https://drive.google.com/drive/folders/1Xp-6K9BIIDpNFhnsmW2iEt3zYqxpKDkj?usp=drive_link,2023 06 30 ETH Cumpleaños 2023,https://youtu.be/cqtfKeaYViM?si=uxbdhvzNl_QO1Z_g
19/08/2023,"Workshop: Set-up en EVM: Una Wallet, un Token y un NFT",Workshop,Colab,Python Cali: python.org.co/usuarios/python-cali/ ,Universidad Libre: https://maps.app.goo.gl/7hfQyZcaDXTnKk7w5 ,https://www.instagram.com/p/CwFzAKruQIb/,https://www.meetup.com/es-ES/ethereumcali/events/295522958/?eventOrigin=group_events_list,10,POAP,NA,NA,NA,https://poap.gallery/drops/147944 ,20,Gnosis,https://www.instagram.com/p/Cwz6uP9u8kS/?img_index=1,https://drive.google.com/drive/folders/1mNqcbF0m0JRf0v1DD9REzj-k3u4J3FjQ?usp=drive_link,"2023 08 19 Setup EVM: Una Wallet, un Token y un NFT",
24/08/2023,Ethereum Starter Pack - Billeteras Blockchain Self-Custodial,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,https://www.instagram.com/p/CwRXIWKNtgu/,https://www.meetup.com/ethereumcali/events/295624050/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,10,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CxE1GWYtX8p/?img_index=1,NA,2023-8-24 21sep - Ethereum Starter Pack ICESI,
31/08/2023,Ethereum Starter Pack - Blockchain y WEB3,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,https://www.instagram.com/p/CwlyZgkNdEh/,https://www.meetup.com/ethereumcali/events/295750565/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
07/09/2023,Ethereum Starter Pack  - Ethereum 101 ,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,https://www.instagram.com/p/Cwyt0XmNTCL/,https://www.meetup.com/ethereumcali/events/295897367/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,4,Unlock Protocol,https://polygonscan.com/address/0xadc3d1f73d2fa9aee898fae36c8d95a9d756b680,Polygon,0,NA,NA,NA,NA,NA,NA,
