DIspositvo,type,Marca,Lugar de Compra
"Roll-up ETHColombia (incluye Stand, Armado e impresion)",Media,Varios,Varios
"Roll-up ETHCali (incluye Stand, Armado e impresion)",Media,Varios,Varios
Roll-up Base x EthCali,Media,Varios,Varios
Extension Electrica 10 Metros,tech,Varios,Centro de Cali
Extension Electrica 3 Metros,tech,Varios,homecenter
Torre de Sonido MX-T70,tech,Samsung,Jumbo Jardin Plaza
"Monitor 27"" IPS Full HD (1920 x 1080) ",tech,LG,Amazon
"Monitor Full HD de 22"" (1920 x 1080)",tech,PHILIPS ,Amazon
Adaptador de video universal USB 3.0 a HDMI UHD dual,tech,WAVLINK ,Amazon
Amazon Fire TV Stick 4K,tech,Amazon,Amazon
Cable HDMI,tech,Varios,Varios
"Cable HDMI DE 8 K, 48 Gbps, 2 metros",tech,Highwings,Amazon
"Echo Show 5 (3.ª generación, modelo de 2023)",tech,Amazon,Amazon
Bombilla LED inteligente (A19),tech,Sengled,Amazon
Paquete 4 Bombillas inteligentes ,tech,Linkind,Amazon
"Mini proyector con 5GWiFi y Bluetooth, 1080P proyector para exteriores, proyector de película portátil, pantalla de 300 pulgadas",tech,WiMiUS,Amazon
Tripode para camara,tech,Varios,Centro de Cali
